PLAYER,RND,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMAX,K,D,A,FK,FD,
enerii,233,323.8,1.48,0.76,198.5,1.1,0.23,0.25,0.15,0.29,0.1,31,257,174,53,59,35,
scourge,499,291.4,1.31,0.73,185.3,1.02,0.19,0.23,0.16,0.34,0.12,33,507,386,97,117,80,
Tian,256,291.3,1.54,0.74,172.9,1.06,0.08,0.27,0.16,0.35,0.04,37,272,177,20,68,41,
Katriggered,296,287.4,1.36,0.73,181.6,0.98,0.22,0.24,0.14,0.22,0.1,34,290,214,64,71,40,
ZmjjKK,404,275.6,1.3,0.7,169.7,0.98,0.13,0.21,0.09,0.22,0.05,34,394,303,54,84,37,
DEATHMAKER,443,273,1.37,0.74,174,1,0.14,0.18,0.11,0.33,0.15,36,444,323,60,81,49,
Meteor,514,271.7,1.32,0.72,168.5,0.95,0.16,0.25,0.13,0.25,0.19,28,486,369,83,126,67,
Paradox,467,267.8,1.17,0.7,177.7,0.93,0.2,0.18,0.15,0.26,0.15,34,432,368,95,84,70,
Jinggg,965,267,1.25,0.75,170.3,0.91,0.25,0.2,0.12,0.2,0.08,32,878,704,242,189,119,
bstrdd,453,265.6,1.26,0.7,171.1,0.93,0.18,0.18,0.13,0.29,0.12,31,423,335,83,81,60,
maniek,504,265.5,1.25,0.72,171.8,0.9,0.22,0.2,0.16,0.25,0.21,29,453,363,109,101,80,
Brookelynn,462,264.9,1.33,0.72,164.3,0.93,0.14,0.18,0.09,0.19,0.15,36,428,322,66,82,42,
MiniBoo,325,262.6,1.36,0.73,170.4,0.94,0.14,0.23,0.15,0.31,0.17,26,305,225,45,76,49,
Jazzyk1ns,515,262.4,1.38,0.75,169.4,0.9,0.25,0.18,0.16,0.22,0.2,26,465,336,131,91,80,
Ninebody,512,262.4,1.24,0.72,169.5,0.91,0.21,0.19,0.13,0.26,0.13,29,468,377,107,98,66,
Georggyyy,308,261.5,1.09,0.67,173.7,0.87,0.2,0.19,0.19,0.23,0.13,29,268,245,63,60,58,
aspas,396,260.7,1.49,0.75,170,0.92,0.2,0.17,0.1,0.25,0.26,29,364,245,80,66,40,
rawfiul,787,260.6,1.36,0.71,162.9,0.94,0.11,0.17,0.11,0.34,0.17,29,738,544,88,136,87,
Alexy,219,259.9,1.17,0.72,166.7,0.89,0.23,0.15,0.15,0.28,0.04,26,194,166,51,32,32,
Alfajer,652,259.4,1.32,0.76,170.1,0.9,0.23,0.14,0.11,0.29,0.21,30,588,446,151,94,69,
AKUMAAAAA,325,259.2,1.13,0.68,167.8,0.87,0.19,0.26,0.2,0.29,0.22,29,284,251,61,83,65,
Bizerra,353,259.2,1.23,0.75,168.1,0.92,0.27,0.12,0.09,0.22,0.16,32,326,265,97,42,31,
jawgemo,522,258.8,1.14,0.74,161.8,0.86,0.26,0.14,0.15,0.22,0.2,28,451,396,135,74,80,
8lua,389,258.7,1.23,0.74,164.6,0.91,0.23,0.17,0.09,0.21,0.2,36,354,287,90,68,34,
russ,247,258.5,1.46,0.76,164.9,0.95,0.1,0.16,0.13,0.28,0.34,30,235,161,25,40,33,
SkRossi,604,258,1.25,0.71,158.7,0.9,0.12,0.22,0.13,0.26,0.09,27,545,436,74,133,77,
Luc1d,241,258,1.32,0.72,169.8,0.94,0.14,0.21,0.15,0.28,0.21,34,227,172,33,51,37,
